name,score,date,review
Lucy V.,5 star rating,1/10/2019,"I would happily eat the truffle tiramisu from Tipo 00 for the rest of my life. All the food was absolutely perfect, and the staff very helpful with food and wine suggestions. I had a special that was a beautiful rabbit ragu with fresh tagliatelle. Really high quality food for a modest price. Definitely get in early (we got there at about 5.45 and managed a table for 2) or book in advance, this place is very popular"
Andrew T.,4 star rating,2/19/2021,"Dropped in for lunch to Tipo 00. I've have been to the little coffee shop next door heaps of times and looked at Tipo 00 a couple of times and after finally having lunch here wish that I had of a long time ago as I could've been here several times by now. We enjoyed the food so much. Great service an nice little place with great ambiance and good food. We started with a couple of starters. The oysters were fresh and with a lovely vinaigrette and the arancini was crispy and  sat on a creamy sauce. Mains we had gnocchi with duck ragu and it was lovely. Small bobbles of gnocchi with lovely soft tender pieces of duck and rich sauce. Macaroni with spicy pork sausage and white beans. It was also very nice. Pasta cooked to perfection and the sausage was spicy without being too hot and the addition of the white beans also complimented the dish. The more of it you ate the better it was. We also had a side of polenta fritta these were crispy little soldiers and with a cheese dust and were good on there own but also good to soak up any sauces from the pasta dishes and a good choice to round the meal of with.  On arrival we were given complimentary bread and cheese as a starter and this was very nice as takes the edge off your hunger while waiting for your dishes. Overall a great place, good food and service and a lovely experience. The serving sizes were fine with out being too big big or small and we felt we had had a good lunch with out being too full. We will be happy to return here and also recommend it to others."
Ivy L.,4 star rating,11/28/2019,"I saw the amazing reviews for Tipo 00 so we wanted to try it out and take a break from having the amazing asian food all over town!  We tried to drop in early in the afternoon to get our names in the books but they said they were booked and told us to just come back and try to get one of the walk-ins at the bar.  We came on a weeknight around 7:30pm and the wait was still about an hour. We put our name down and decided to walk around a bit before coming back. They did take about an hour, maybe a little more, to seat us. Small restaurant that stays busy most of the night, unless you come in super late. Intimate and a nice ambiance, though the tables are a bit close together. We literally sat a few inches from the table next to us and the walk area is small! The house focaccia comes out hot and fresh with pesto and olive oil on top! It was warm and delicious! Too bad they only serve you one slice per person! We ordered the Tagliolini al Nero - squid ink pasta with squid and bottarga. Definitely the favorite of the dishes cause of the flavors. The noodles looked freshly made and the flavors were delicious! Perfect bite to the Tagliolini! I liked the small pieces of squid in the dish, tender and adds to the bite! 5/5The casarecce with pork sausage, white wine and radicchio was on the blander side compared to the other dish but the pasta was cooked well and I liked the sausage and radicchio in the dish! 4/5We had an Insalata of witlof,  cos lettuce and apples on the side to get some greens with the pasta. Liked the dressing ok this salad and the greens fee fresh. 4/5We liked the dishes and thought it was a lovely evening with reasonably priced foods that were fresh and delicious! The wait time was off putting and it was probably well worth it cause we would definitely come back. We were so stuffed we ordered the tipomisu to-go. We thought it was just a cake and didn't get much of the tiramisu/coffee flavors they come with this dessert. It was also fairly dense and less light and fluffy. Definitely had better tiramisu elsewhere! Pastas are on point though!"
Jim R.,4 star rating,2/5/2020,"Tiny Italian eatery serving beautifully prepared house made pastas and more.  We were visiting friends in Melbourne and I had located this spot online.  It wasn't really possible to get a reservation (apparently you've got to call quite a ways ahead), but we at stopped in anyway on a Tuesday night around 8:15 and were able to get a spot at one of the communal tables. I was very pleasantly surprised.  The place is buzzing with energy and the menu features truly Italian food with artisan ingredients and lots of care put into the dishes.  They have a number of starters but what caught my eye was the  house made pasta.  I got an amazing  pappadelle with a rich sauce and bits of braised beef-so good.  My wife savored the pasta with white wine and chicken.  To start they bring a few small slices of crispy focaccia and fresh ricotta cheese.This was a wonderful meal and reminded me of our many trips to Italy."
Rachel A.,4 star rating,12/22/2019,"Managed to walk in early enough without reservations to grab a table for two. Food was amazing so I would've given five stars but the service wasn't amazing. Felt like they were rushing us out so they could seat more people which is understandable but also not a great experience for us (and trust me, we hadn't been there long). Was definitely the best pasta I had in Melbourne during my stay so I recommend for anyone craving a good pasta!"
Ron W.,5 star rating,12/14/2018,"This place requires booking far in advance because it is no bigger than a 5 pound bag of Caputo ""00"" Flour and in high demand. At 6:00 PM it was stuffed tummy to tummy like a tray of Cannelloni. There are a few seats at the crowded Bar where you can have Elbow Pasta with real elbows in it. This is simply a simple little box packed as full as my carry-on after weeks of carrying on. Add 10 two-tops to the 6 seat Bar plus one small communal table with someone else's cheek in your date's jowl requires that you makes friends quickly. There is a tiny open kitchen and one dude hustling trays and buckets out the door to an offsite prep station (or a Roman Bar Mitzvah up the street). The Staff: Two attendants attending to you. Kelly was at my side like a playful Seal deftly balancing between moving dinner along and assisting with sorting through the options. You are allotted only 90 minutes to dine here, so practice eating to the beat. Instead of a tea candle on your table you get a Metronome and an egg timer. The Vibe: People who like people...very close. The Bar: Choose from 6 classic cocktails on page 1 of the Aussie/Italo Vino List. But one page is all you'll need as the choices are lovely and skillfully created. My Americano (how did they know? I dressed like a local), had Aperol (Rhubarb Liquer...Adderall might have been better), Compari, Sweet Vermouth, Soda served tall. It was tad bitter to start wit and tasted a bit like Pertussin on the finish but like both, you can get used to that quick enough and like it.  I switched up to a glass of Cocchi Chinato Vermouth. Sweet and lively as  a freshman Coed. Then, it was a Poderi Sangueneto Sangiovese which was an all purpose pick for the dinner on it's way. Say ciao to the chow: A house made Focaccia with dried Parsley, Ricotta Salata and a drizzle of Parsley Oil had a crunchy crust and a soft crumb. Push the Ricotta inside when no one's looking at you being a heathen. The Special Zucchini Flower stuffed with, yes, more Ricotta, and then tempura'ed was light and delightful. A quick fry is about all you can do with that so it must be done perfectly to measure up. It was. Otherwise it is a greasy limp cigar. It wasn't. Salumi (Chef's Choice) was Culatello, Soppressata, and Prosciutto, Chef picked all my favorite food groups. Even the small version of this was ample as each offering was piled as high as a relief map of the Blue Mountains. The Calamari came with seasonal Broad Beans (Favas to your American Cousins), came with mandolined Purple Peruvian Potatoes that remained crunchy despite being nestled among some Purple Potato Crisps, add some Squid Rings, that were so tender they must have quit swimming just to hop in the net. A squirt of Parsley Oil finished off this delectable dish. The Gnocchi di Pepato was mixed with large chunks of long braised lean Duck, Porcini Mushrooms, and Pecorino Pepato. These gnocchs were so soft I wanted to take then back to hotel room. (To swap for the down pillows, now take your head out of the gutter.)These feather light little puffs would have had the Medici dining with the Borgia's peacefully together on a regular basis. The Special Tagliatelle, with Butter, Parmigiano, and a generous shaving of White Winter Truffles, (the first of the season) was outstanding. Coming from the USA I was following the Truffle season like a Bruce Brown Surf Film. Forget surfing. Year round fresh Truffles? Better to catch those. Too full to make room for even the thought of dessert, Kelly swooped by with a sampler of Tipo-mirasu topped with a Chocolate Ganache which topped wonderful Marscapone Cheese, with Salted Caramel Sauce topping all of it. A one bite Fudge Cookie  topped me off. How will I have room for my Prilosec? Tipo-00, you're just my type."
Ying P.,4 star rating,3/26/2019,"I would have to say, this is one of my favourite pasta bar so far. The seat is limited and quite hard to get if you randomly walk-in with a busy hours or weekend so prepare to come early or make a reservation. The staffs quite nice and friendly. I've ordered a chef's menu which include 3 starters, 2 pasta, 1 salad and 2 deserts which I totally rrcommend it. Even though their starter is not that great, their pasta is out of this world! especially squid ink pasta with squid. they really know what they're doing on that. Many of yelp's reviewer raved about rheir tipo-misu but I still think it just ok.       After I come back to my place, I can tell you I still dreamt about that squid ink pasta!!!"
V C.,5 star rating,4/4/2018,"More pasta? Yes, Please. Rainy day and I escaped the hustle and bustle of Little Bourke street into this petite and moody Italian eatery, in what's going to be one of the most exciting lunch in my entire Melbourne trip.  As this was an impulse stop, I walked in without a reservation. Despite the massive popularity of this place, plus I was eating solo at the time, they proceed to seat me right away in the counter, facing a semi- open kitchen and watching all the actions are. I know right, grateful :). A couple slices of bread were given to ease my hunger as I perused the menu. The bread was simply divine and paired pleasantly with the ricotta cheese.For my lunch, I had what they are famous for: Tagliolini al Nero ($28) - Gorgeous presentation consisting of deep charcoal squid ink tagliolini, squid & bottarga. Both pasta and bottarga (salted, cured fish roe) did an amazing job appetizing my taste buds - it was very fresh, tasty and lightly seasoned, I enjoyed every bite of it! Further rounding out the lovely experience was the attentive and spot-on service. The pricing was a little steep considering the uber tiny portions given. Other than that, all is splendid with Tipo00 and I am personally looking forward to my future trip to Tipo00, with reservations of course :)"
Anchisa P.,4 star rating,9/23/2018,Very good pasta restaurant in Melbourne. We shared a few pasta dishes - asked the server for a recommendation and basically went with his suggestions. All the dishes are excellent.- Desserts are ok- Need to make a reservation
Stuart M.,5 star rating,6/5/2018,"This little gem of a restaurant has unadorned green walls, stretch tables, and generic chairs.  They are focused without distraction on the food.  Complementary focaccia slices with olive oil drizzled ricotta got the ball rolling.  That was followed by complimentary arancini rice balls over a piquant aioli.  Then our first item, broccolini came with a Parmesan, almond crumble. It was as good as it sounds.  Then they took it to the next level with squid ink tagliolini, strips of squid, and bottargo roe.  It came with an olive oil based sauce, and offered a quiet elegance from subtle ocean flavors.  We finished with John Dory filet over black rice, leeks and sorrel.Despite being a white fleshed fish, there was more character and nuance to this filet than many of the other varieties offer.  The leeks added a buttery onion note, and the rice had just the right texture and firmness.This kitchen operates with a sure hand.Our waitress was delightful, while offering expert service and attention.If only I had more capacity. Ah well, other choices will have to wait for next time."
